Symbol,Ticker,Date,Price,Score,Grade,Screen1,Screen2,MACD_H_Score,MACD_Line_Score,EMA_Score,KC_Score,FI_Score,Stoch_Score,Pattern_Score,All_Weekly,Weekly_MACD_H,Weekly_EMA_20,Weekly_EMA_50,Weekly_EMA_100,Daily_FI2,Daily_Stoch_K,Daily_RSI,Pattern,Entry,Stop,Target,CMP,Diff
"COPART, INC. (XNAS:CPRT)",CPRT,09/12/2025,38.42,8,B,4,4,2,2,0,2,1,1,0,No,-0.381,43.73,48.1,50.13,-4078,6.6,14.8,None,38.83,38.1,39.92, $38.44 , $0.02 
Fastenal Company (XNAS:FAST),FAST,09/12/2025,40.39,8,A,5,3,2,1,2,1,1,1,0,Yes,-0.842,42.95,41.99,39.62,-10487,44.4,53.6,None,41.54,40.27,43.44, $40.34 , $-0.05 
"VERISK ANALYTICS, INC. (XNAS:VRSK)",VRSK,09/12/2025,216.15,8,B,4,4,2,2,0,2,1,1,0,No,-1.608,241.85,260.98,262.68,-41814,3.8,36.6,None,221.35,215.29,230.44, $216.03 , $-0.12 
"LUCID GROUP, INC. (XNAS:LCID)",LCID,09/12/2025,12.54,8,B,4,4,2,2,0,2,1,1,0,No,-0.6964,18.03,22.05,26.9,-22707,38.8,47.2,None,13.07,12.12,14.5, $12.45 , $-0.09 
"THE TRADE DESK, INC. (XNAS:TTD)",TTD,09/12/2025,39.3,8,B,4,4,2,2,0,2,1,1,0,No,-0.2079,49.76,63.71,73.12,-5716,36.7,43.1,None,40.33,38.17,43.57, $39.40 , $0.10 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,09/12/2025,96.67,7,B,3,4,0,1,2,2,1,1,0,No,-3.0005,111.36,106.7,93.39,-9418114,7.6,23.3,None,99.99,95.11,107.31, $96.71 , $0.04 
INTUIT INC. (XNAS:INTU),INTU,09/12/2025,655.97,7,A,6,1,2,2,2,0,1,0,0,Yes,-3.7717,672.9,669.84,655.1,-52412,57.9,52.2,None,672.45,634.51,729.36, $655.75 , $-0.22 
"AMERICAN ELECTRIC POWER COMPANY, INC. (XNAS:AEP)",AEP,09/12/2025,115.99,7,B,3,4,0,1,2,2,1,1,0,No,-0.0361,115.26,109,102.16,-5866,7.9,24.6,None,117.84,115.08,121.98, $116.07 , $0.08 
Xcel Energy Inc. (XNAS:XEL),XEL,09/12/2025,75.4,7,B,3,4,0,1,2,2,1,1,0,No,-0.4422,77.06,72.89,68.86,-7471,2.4,24.2,None,77.23,75.08,80.46, $75.72 , $0.32 
"GILEAD SCIENCES, INC. (XNAS:GILD)",GILD,09/12/2025,119.88,7,B,3,4,0,1,2,2,1,1,0,No,-0.0948,118.3,110.1,100.57,-15986,8.6,30.8,None,122.49,118.81,128.01, $119.36 , $-0.52 
BOOKING HOLDINGS INC. (XNAS:BKNG),BKNG,09/12/2025,5206.93,7,A,6,1,2,2,2,0,0,0,1,Yes,-37.9948,5189.29,5069.92,4713.37,408077,98.6,68.8,Hammer,5214.66,4992.19,5548.36," $5,195.76 ", $-11.17 
