Symbol,Name,Market Cap,Sector,Industry
AAPL,Apple Inc. Common Stock,4.12423E+12,Technology,Computer Manufacturing
ABNB,Airbnb Inc. Class A Common Stock,78956567202,Consumer Discretionary,Diversified Commercial Services
ADBE,Adobe Inc. Common Stock,1.44471E+11,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,1.37989E+11,Technology,Semiconductors
ADP,Automatic Data Processing Inc. Common Stock,1.04874E+11,Industrials,Diversified Commercial Services
ADSK,Autodesk Inc. Common Stock,63589400000,Technology,Computer Software: Prepackaged Software
AEP,American Electric Power Company Inc. Common Stock,61170152997,Utilities,Electric Utilities: Central
AFRM,Affirm Holdings Inc. Class A Common Stock,23420374984,Finance,Finance: Consumer Services
AGNC,AGNC Investment Corp. Common Stock,11140239467,Real Estate,Real Estate Investment Trusts
AKAM,Akamai Technologies Inc. Common Stock,12422763215,Real Estate,Real Estate
ALAB,Astera Labs Inc. Common Stock,28135964353,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,11843771675,Health Care,Industrial Specialties
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,53414937756,Health Care,Biotechnology: Pharmaceutical Preparations
AMAT,Applied Materials Inc. Common Stock,2.19284E+11,Technology,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,3.6136E+11,Technology,Semiconductors
AMGN,Amgen Inc. Common Stock,1.70378E+11,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMKR,Amkor Technology Inc. Common Stock,11543933508,Technology,Semiconductors
AMZN,Amazon.com Inc. Common Stock,2.47847E+12,Consumer Discretionary,Catalog/Specialty Distribution
APP,Applovin Corporation Class A Common Stock,2.37244E+11,Technology,Computer Software: Programming Data Processing
ARCC,Ares Capital Corporation Common Stock,15069623563,Finance,Finance: Consumer Services
ASTS,AST SpaceMobile Inc. Class A Common Stock,29034899196,Consumer Discretionary,Telecommunications Equipment
AVAV,AeroVironment Inc. Common Stock,12174470711,Industrials,Aerospace
AVGO,Broadcom Inc. Common Stock,1.95478E+12,Technology,Semiconductors
AXON,Axon Enterprise Inc. Common Stock,45012897120,Industrials,Ordnance And Accessories
BBIO,BridgeBio Pharma Inc. Common Stock,13999331720,Health Care,Biotechnology: Pharmaceutical Preparations
BIIB,Biogen Inc. Common Stock,26033785189,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BKNG,Booking Holdings Inc. Common Stock,1.69888E+11,Consumer Discretionary,Transportation Services
BKR,Baker Hughes Company Class A Common Stock,47315807642,Consumer Discretionary,Oil and Gas Field Machinery
BMRN,BioMarin Pharmaceutical Inc. Common Stock,10306934556,Health Care,Biotechnology: Pharmaceutical Preparations
BSY,Bentley Systems Incorporated Class B Common Stock,12406377369,Technology,Computer Software: Prepackaged Software
BTSGU,BrightSpring Health Services Inc. Tangible Equity Unit,21314034459,Health Care,Medical/Nursing Services
CART,Maplebear Inc. Common Stock,11396555967,Real Estate,Real Estate
CASY,Casey's General Stores Inc. Common Stock,19834344747,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CDNS,Cadence Design Systems Inc. Common Stock,92270694980,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,19426846977,Technology,Retail: Computer Software & Peripheral Equipment
CEG,Constellation Energy Corporation Common Stock ,1.13143E+11,Utilities,Electric Utilities: Central
CELH,Celsius Holdings Inc. Common Stock,11388954421,Consumer Staples,Beverages (Production/Distribution)
CFLT,Confluent Inc. Class A Common Stock,10492928377,Technology,Computer Software: Prepackaged Software
CG,The Carlyle Group Inc. Common Stock,21444423917,Finance,Investment Managers
CHRW,C.H. Robinson Worldwide Inc. Common Stock,18723561341,Industrials,Integrated Freight & Logistics
CHTR,Charter Communications Inc. Class A Common Stock New,27691016351,Telecommunications,Cable & Other Pay Television Services
CINF,Cincinnati Financial Corporation Common Stock,25422436601,Finance,Property-Casualty Insurers
CMCSA,Comcast Corporation Class A Common Stock,1.00754E+11,Telecommunications,Cable & Other Pay Television Services
CME,CME Group Inc. Class A Common Stock,95723985913,Finance,Investment Bankers/Brokers/Service
COIN,Coinbase Global Inc. Class A Common Stock,74807283318,Finance,Finance: Consumer Services
COKE,Coca-Cola Consolidated Inc. Common Stock,13869656845,Consumer Staples,Beverages (Production/Distribution)
COO,The Cooper Companies Inc. Common Stock,15800728346,Health Care,Ophthalmic Goods
COST,Costco Wholesale Corporation Common Stock,3.87618E+11,Consumer Discretionary,Department/Specialty Retail Stores
CPRT,Copart Inc. (DE) Common Stock,37955973390,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CRDO,Credo Technology Group Holding Ltd Ordinary Shares,28454011535,Technology,Semiconductors
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,1.30978E+11,Technology,Computer Software: Prepackaged Software
CRWV,CoreWeave Inc. Class A Common Stock,44125367875,Technology,Computer Software: Prepackaged Software
CSCO,Cisco Systems Inc. Common Stock (DE),3.17767E+11,Telecommunications,Computer Communications Equipment
CSGP,CoStar Group Inc. Common Stock,28756376369,Real Estate,Real Estate
CSX,CSX Corporation Common Stock,69197009285,Industrials,Railroads
CTAS,Cintas Corporation Common Stock,74682903440,Industrials,Garments and Clothing
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,40093442512,Technology,EDP Services
DASH,DoorDash Inc. Class A Common Stock,95423072107,Technology,EDP Services
DDOG,Datadog Inc. Class A Common Stock,53140645303,Technology,Computer Software: Prepackaged Software
DKNG,DraftKings Inc. Class A Common Stock,17237861952,Consumer Discretionary,Services-Misc. Amusement & Recreation
DLTR,Dollar Tree Inc. Common Stock,24691600230,Consumer Discretionary,Department/Specialty Retail Stores
DOCU,DocuSign Inc. Common Stock,13692647234,Technology,Computer Software: Prepackaged Software
